MMOX 111940Z 15004KT 12SM SCT030 SCT210 27/01 A3011 RMK 8/106 RTS,MMOX,2020-12-11T19:40:00Z,17.0,-96.72,27.0,1.0,150,4,,12.0,30.109253,,,,,,,,,,,SCT,3000,SCT,21000,,,,,VFR,,,,,,,,,,,,METAR,1528.0
KVOA 111940Z AUTO 17009KT 8SM 25/13 A3005 RMK A01,KVOA,2020-12-11T19:40:00Z,29.23,-87.78,25.0,13.0,170,9,,8.0,30.050198,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,SPECI,53.0
KSKX 111940Z AUTO 26011KT 3SM -SN BR FEW008 SCT017 BKN023 M01/M03 A2985 RMK AO2 PK WND 26032/1925 RAB13E25SNB25 P0000 FZRANO,KSKX,2020-12-11T19:40:00Z,36.45,-105.67,-1.0,-3.0,260,11,,3.0,29.84941,,,TRUE,TRUE,,,,TRUE,,-SN BR,FEW,800,SCT,1700,BKN,2300,,,MVFR,,,,,,0.005,,,,,,SPECI,2163.0
KPKV 111940Z AUTO 19006KT 7SM SCT023 BKN030 OVC070 24/20 A2984 RMK AO2 T02350200,KPKV,2020-12-11T19:40:00Z,28.65,-96.68,23.5,20.0,190,6,,7.0,29.840551,,,TRUE,TRUE,,,,,,,SCT,2300,BKN,3000,OVC,7000,,,MVFR,,,,,,,,,,,,SPECI,8.0
CYMT 111940Z AUTO 32005KT 6SM -SN OVC014 M02/M04 A2994 RMK SLP167,CYMT,2020-12-11T19:40:00Z,49.77,-74.52,-2.0,-4.0,320,5,,6.0,29.940945,1016.7,,TRUE,,,,,,,-SN,OVC,1400,,,,,,,MVFR,,,,,,,,,,,,SPECI,388.0
CYMO 111940Z AUTO 31008KT 9SM OVC026 M09/M12 A3027 RMK SLP251,CYMO,2020-12-11T19:40:00Z,51.28,-80.62,-9.0,-12.0,310,8,,9.0,30.268702,1025.1,,TRUE,,,,,,,,OVC,2600,,,,,,,MVFR,,,,,,,,,,,,SPECI,8.0
CYGL 111940Z 29011G16KT 5SM -SN BKN008 OVC010 M09/M10 A3008 RMK SF5SC3 SLP206,CYGL,2020-12-11T19:40:00Z,53.62,-77.7,-9.0,-10.0,290,11,16,5.0,30.079725,1020.6,,,,,,,,,-SN,BKN,800,OVC,1000,,,,,IFR,,,,,,,,,,,,SPECI,192.0
CYER 111940Z AUTO 34006KT 9SM SCT019 OVC110 M13/M16 A3036 RMK SLP282,CYER,2020-12-11T19:40:00Z,56.02,-87.68,-13.0,-16.0,340,6,,9.0,30.360237,1028.2,,TRUE,,,,,,,,SCT,1900,OVC,11000,,,,,VFR,,,,,,,,,,,,SPECI,11.0
PAFM 111939Z AUTO 00000KT 3/4SM HZ OVC002 M32/M35 A3042 RMK AO2 FZRANO,PAFM,2020-12-11T19:39:00Z,67.1,-157.85,-32.0,-35.0,0,0,,0.75,30.41929,,,TRUE,TRUE,,,,TRUE,,HZ,OVC,200,,,,,,,LIFR,,,,,,,,,,,,SPECI,79.0
KVUO 111939Z AUTO 11006KT 4SM -RA BKN017 OVC023 06/03 A3007 RMK AO2 P0006 T00610033,KVUO,2020-12-11T19:39:00Z,45.62,-122.65,6.1,3.3,110,6,,4.0,30.070866,,,TRUE,TRUE,,,,,,-RA,BKN,1700,OVC,2300,,,,,MVFR,,,,,,0.06,,,,,,SPECI,7.0
